text	class	cV	cR1	cR2	V	R1	R2
Будучи в прошлый четверг в Софии, он назвал себя 'наполовину восточноевропейцем', и за последние пять дней успел принять у себя лидеров Украины, Польши и Чехии	0						
Работа с двухбайтовыми наборами символов — просто кошмар для программиста, так как часть их состоит из одного байта, а часть — из двух.	1	92:99	83:91	103:109	127:127	119:124	127:134
Заместитель Генерального секретаря подчеркнул, что проблема наркотиков не только дестабилизирует обстановку в стране, но и представляет собой угрозу миру и стабильности во всем регионе, и призвал оказывать международную помощь, чтобы обеспечить осуществление оперативного плана, составленного ЮНОДК и правительством	0						
Продажа недвижимости из собственных портфелей перестала рассматриваться ими в качестве одного из немногих, а иногда - единственного источника капитала для погашения обязательств перед кредиторами.	0						
Новым является то, что повышенное давление контролируемого состава газов поддерживают постоянным, как минимум, с момента ввода напыляемого материала в газотермический поток до момента его фиксации на детали, а также то, что ограниченный объем формируют в виде газового колокола в объеме с жидкостью, причем границу между газом и жидкостью в ограниченном объеме определяют газопроницаемой поверхностью за счет превышения равнодействующей сил давления и тяжести над силой поверхностного натяжения, при этом ограниченный объем в объеме с жидкостью формируют на глубине погружения не более глубины, на которой давление столба жидкости превышает статическое давление контролируемого состава газа	0						
Выворачивает наизнанку, запад превращает в юг, а север — в восток, меняет местами добро и зло, велит открыть своё сердце, ничего не требуя взамен.	1	30:40	24:29	41:45	57:57	49:54	57:65
Специалисты отметили «грамотный подход к ландшафту», но рекомендовали более тщательно продумать пляжную зону, где будут отдыхать не только туристы из отеля, но и местные жители	0						
Текущие обязательства компании в 2009 г. сократились на 16% - до 135.3 млн. грн., долгосрочные обязательства уменьшились на 1.7% - до 71.8 млн. грн., а дебиторская задолженность - на 3% до 87.7 млн. грн.	1	109:120	82:108	121:148	180:180	152:177	180:202
Первая конвенция была ратифицирована 80 процентами государств – членов МОТ, а вторая – 87 процентами этих государств.	1	22:36	0:16	37:74	87:87	78:84	87:116
Ей свиновой надо чаще напоминать, а то столько в голову информации через член получать, не всё однако запоминается.	0						
Сущность изобретения: мазь, включающая трициклическое соединение или его фармацевтически приемлемую соль, солюбилизирующий или промотирующий впитывание агент и мазевую основу при содержании указанных компонентов в мас.% соответственно 0,01-10, 1-30 и остальное до 100%	0						
Христианский праздник Благовещения и ветхозаветные пророки соседствуют на створках с языческими античными философами: Гомером, Афродитианом, Еврипидом, Плутархом, Диогеном, Менандром	0						
Сущность изобретения: двигатель бегущей волны состоит из статора с упругим колебательным телом, из системы возбуждения, состоящей из множества сегментов и возбуждающей ультразвуковые колебания, и из ротора, находящегося под давлением в контакте со статором в поверхностной области, и имеет сенсорное устройство, расположенное на колебательном теле или на системе возбуждения	0						
На первой - при давлении 120 - 170 атм., а на второй - 80 атм	0						
Но Христианин сказал Упрямому: — Нет, сосед, лучше ты последуй примеру Сговорчивого. Мы в самом деле там получим то, о чем я сейчас говорил, а сверх того — великую славу.	1	105:112	113:139		156:156	156:169	
Средний срок действия контрактов в 2000 году для консультантов увеличился на 16 дней, а для индивидуальных подрядчиков — на 15 дней.	1	63:73	45:62	74:84	121:121	88:118	121:131
Настройки в файле "{0}" не могут быть использованы средой, так как этот файл не является допустимым	0						
Z - означает группу - NRaRb, где Ra и Rb - одинаковые или различные и каждый означает водород	0						
Между Полом и Айлероном явно существовала некая, всем очевидная напряженность, и отрицать ее было невозможно.	0						
Цените тех, кто всегда прощал, кто всегда ждал, и надеялся на лучшее не для себя одного, а для вас вдвоём в целом.	0						
Однако за счет переориентации на другие рынки в целом импорт куриного мяса превысил показатели 2001 г. по стоимости - на 10,5%, по физическим объемам - на 1,4%.	1	75:83	103:115	118:126	152:152	128:149	152:159
Только есть да пить, харчи бы подешевле, да в трактире горло драть без ума; и ни тебе разговоров хороших, ни обращения, ни формальности, а так, невежа!	0						
В наше время скромность принимают за высокомерие, а доброту за слабость .	1	24:33	13:23	34:48	60:60	52:59	60:71
Вновь слезы, вновь на горячую юную руку сыплются поцелуи, вновь нежные объятия, - некоторое время дама не находит в себе сил заговорить.	0						
Освободи меня от дурных привычек и плохого настроения, от грубых слов и желания защититься, дай мне доброту, благость, верность, мягкость и научи меня сдерживать эмоции.	0						
Хотел купить квартиры двушки в 20 и 21 домах...	0						
Пустотообразователь размещен в проеме прижимной пластины 7, а его ограничительные стенки выполнены с уклоном, установлены подвижно и имеют механизм фиксации в виде упора 22, закрепленного на тягах 19, а форма снабжена объемными пластинами 14, контактирующими со стенками пустотообразователя	0						
Катсуку было интересно, хочет Хокват есть или станет это отрицать	0						
И всё клеймешь меня маленьким, все не взрослым	0						
Не замается в оконце, мир как-будто бы не тот,	0						
В 2005 г. в газопроводы ЕСГ поступило 699,7 млрд м3 газа (в 2001 г. - 621,2 млрд м3), таким образом, объемы транспортировки газа выросли на 12,6 %.	1	28:37	0:9	38:56	70:70	58:67	70:83
Для обозначения ординалов мы используем буквы а, т и p.	0						
Использование: изобретение относится к противоугонным устройствам транспортных средств, преимущественно велосипедов	0						
Номер и дата подачи первоначальной заявки, из которой данная заявка выделена	0						
Закон состоит в том, что все вещества, которые разлагаются батареей, являются в жидком состоянии проводниками, а в твердом состоянии — непроводниками электричества гальванической батареи (393, 394, 404, 407, 413, 505, 676, 679, 697 и др).	1	69:77	78:96	97:109	135:135	113:132	135:237
Также обращаем внимание на привилегированные бумаги данных компаний, держатели которых в случае реорганизации получают такие же права, как и владельцы обыкновенных акций	0						
Неправильное или слишком быстрое разогревание воска может привести к ожогам, а при хрупкости капилляров- к появлению сосудистых звездочек на коже.	1	52:57	67:75		105:105	105:145	
я бываю такая разная, то капризная.	0						
Первая группа ворвалась в дом к Идрисовым,  вторая к Кушаевым.	1	14:23	0:13	30:41	51:51	44:50	51:61
Конечно же, Россия может и должна иметь интересы в соседних странах, но как и все остальные, она должна заслужить это влияние	0						
Мне бы счастья, пусть по крупинкам, Пусть по граммам, немного, малость!	0						
Использование: в производстве химического волокна, в частности в процессе сушки неизвитого жгутового волокна, заключающемся в улучшении укладки его на транспортер, повышении равномерности влагосодержания волокна после сушки	0						
Сегодня котировки акций на РТС составляют 0,0073 рубля, на ММВБ – 0,0069 рубля.	1	31:41	24:30	42:54	66:66	56:63	66:78
Плановый уровень доходов республиканского бюджета был увеличен на 14.7% по сравнению с первоначальным уровнем, а расходов - на 13.3%.	1	54:62	17:49	63:71	124:124	113:121	124:132
В данном случае форма напрямую зависит от запроса и косвенно — от таблиц.	1	31:38	22:30	39:49	63:63	52:60	63:72
Декларацию об укреплении мира и безопасности в центральноамериканском регионе, подписанную 30 марта 1995 года (приложение I	0						
В качестве смачивателя стабилизатор может содержать сульфанол или препарат ОС-20, а в качестве регулятора роста кристаллов 1,4 бутиндиол или тиомочевину.	1	36:41	0:22	52:80	127:127	84:126	127:152
С тобой же я вела себя иначе,но вкус тебя всегда на языке.	0						
Доля данной группы кредитных организаций в активах банковского сектора на 1.01.2007 составила 41,2%, в капитале — 35,5% (на 1.01.2006 — 45,8 и 38,7% соответственно).	1	84:93	71:83	94:119	136:136	121:133	136:163
Забыл Панкрат Кондратов домкрат, а Панкрату без домкрата не поднять на тракте трактор.	0						
В качестве теплоносителя используют перегретый пар, который подают в зону контакта концентратора со скоростью 11-16 м/с, отходящий из концентратора пар имеет температуру 105-120 °С за счет регулирования соотношения кислоты и теплоносителя	0						
Последовательность шагов мужчины можно предвидеть и вовремя начать действовать.	0						
Имею честь сообщить Вам о том, что Ваше письмо от 8 января 2004 года (S/2004/28), касающееся Вашего предложения назначить Анатолия Щербу уполномоченным Комиссии Организации Объединенных Наций по наблюдению, контролю и инспекциям, доведено до сведения членов Совета Безопасности	0						
Тем будет меньше, жизни твоей срок.	0						
Ниже перечисляются и анализируются некоторые факторы, которые, как известно, оказывают существенное влияние на масштабы и характер оборота наркотиков	0						
Когда я спрашиваю его об этом, он лишь отмахиваться.	0						
Для макрокоманды или метода требуется наличие аргумента "Имя модуля" или "Имя процедуры".@Попытка выполнить макрокоманду ОткрытьМодуль или метод OpenModule, но в окне макросов не были заданы аргументы "Имя модуля" и "Имя процедуры".@Введите допустимое имя для одного из этих аргументов.	0						
Я откликнусь на дурака, ты на дуру.	1	2:12	0:1	13:22	27:27	24:26	27:34
Эта установка идеально подходит для фильмов, закодированных в формате Dolby Surround	0						
Огонь твоей любви защищает нас от бед и ошибок, а материнская молитва — от неправильных поступков.	1	18:26	0:17	31:46	72:72	50:69	72:97
Работу с жителями отселяемых территорий ведет общественная приемная, в начале июня в селе Веселое открылся дополнительный офис, где можно получить консультацию по вопросам олимпийского изъятия	0						
Любое отклонение от прямого курса требует разворота корабля, так чтобы его моторы могли действовать в другом направлении	0						
Изобретение относится к металлургии, конкретнее, к непрерывной разливке металлов	0						
За ними по обе стороны Дэвин увидел работающих в поле людей, некоторые из них были наемными мирянами, некоторые жрецами, одетыми не в церемониальный белый цвет, а в поношенные светло-коричневые одежды.	1	78:82	61:77	83:100	112:112	102:111	112:200
Котировки на нефть за январь-февраль 2011 года выросли на 13,5%, за май 2010 года - февраль 2011 года - на 37%.	1	47:54	19:46	55:63	104:104	65:101	104:110
В передней он споткнулся и кубарем полетел через Ангела и Джеронимо, которые, лежа на полу, потягивали вино и обсуждали девочек, которых видели в Риверсайд-парке.	0						
Они совершили облет всей территории Ливана, после чего в 12 ч. 30 м. покинули воздушное пространство Ливана, пролетев над Эн-Накурой	0						
